title;type;authors;doi;cite_number;volume;issue;date
A Review of Some Sampling and Aggregation Strategies for Basic Statistical Process Monitoring;article;Inez M. Zwetsloot - William H. Woodall;/doi/full/10.1080/00224065.2019.1611354;11;53;1;2021
Discussion: A review of some sampling and aggregation strategies for basic statistical process monitoring (I. M. Zwetsloot and W. H. Woodall);discussion;Emmanuel Yashchin;/doi/full/10.1080/00224065.2019.1611356;1;53;1;2021
A review of some sampling and aggregation strategies for basic statistical process monitoring: Discussion by Ross Sparks;discussion;Ross Stewart Sparks;/doi/full/10.1080/00224065.2019.1623588;2;53;1;2021
Discussion of Zwetsloot and Woodall: A review of some sampling and aggregation strategies for basic statistical process monitoring;discussion;Willis A. Jensen - John Szarka III;/doi/full/10.1080/00224065.2019.1611359;1;53;1;2021
Discussion of article by Zwetsloot and Woodall: A review of some sampling and aggregation strategies for basic statistical process monitoring;discussion;Ron S. Kenett;/doi/full/10.1080/00224065.2019.1611355;1;53;1;2021
Discussion: Process data streams aggregation versus product samples aggregation;discussion;Marco S. Reis;/doi/full/10.1080/00224065.2019.1611357;2;53;1;2021
Data aggregation in disease surveillance;discussion;Ronald D. Fricker Jr. - Howard S. Burkom;/doi/full/10.1080/00224065.2019.1611360;1;53;1;2021
Rejoinder;reply;Inez M. Zwetsloot - William H. Woodall;/doi/full/10.1080/00224065.2019.1611361;0;53;1;2021
Monitoring worker fatigue using wearable devices: A case study to detect changes in gait parameters;case report;Amir Baghdadi- Lora A. Cavuoto- Allison Jones-Farmer- Steven E. Rigdon- Ehsan T. Esfahani - Fadel M. Megahed;/doi/full/10.1080/00224065.2019.1640097;7;53;1;2021
Stochastic search variable selection for split-plot and blocked screening designs;article;Chang-Yun Lin;/doi/full/10.1080/00224065.2019.1651621;0;53;1;2021
An efficient charting scheme for multivariate categorical process with a sparse contingency table;article;Dongdong Xiang- Xiaolong Pu- Dong Ding - Wenjuan Liang;/doi/full/10.1080/00224065.2019.1697630;1;53;1;2021
Mixture Modeling for Medical and Health Sciences;book review;Tom Menten;/doi/full/10.1080/00224065.2019.1662351;0;53;1;2021
Design of Experiments for Generalized Linear Models;book review;Rong Pan;/doi/full/10.1080/00224065.2020.1714516;0;53;1;2021
A penalized autologistic regression with application for modeling the microstructure of dual-phase high-strength steel;article;Mohammad Aminisharifabad- Qingyu Yang - Xin Wu;/doi/full/10.1080/00224065.2019.1611349;1;52;4;2020
Designing computer experiments with multiple types of factors: The MaxPro approach;article;V. Roshan Joseph- Evren Gul - Shan Ba;/doi/full/10.1080/00224065.2019.1611351;5;52;4;2020
Nonparametric control of the conditional performance in statistical process monitoring;article;Rob Goedhart- Marit Schoonhoven - Ronald J.M.M. Does;/doi/full/10.1080/00224065.2019.1611352;2;52;4;2020
Nonparametric link functions with shape constraints in stochastic degradation processes: Application to emerging contaminants;article;Lanqing Hong- Matthias Hwai Yong Tan - Zhi-Sheng Ye;/doi/full/10.1080/00224065.2019.1611353;1;52;4;2020
Guaranteed in-control control chart performance with cautious parameter learning;article;Giovanna Capizzi - Guido Masarotto;/doi/full/10.1080/00224065.2019.1640096;0;52;4;2020
Integrated parameter and tolerance optimization of a centrifugal compressor based on a complex simulator;case report;Mei Han- Xuejun Liu- Min Huang - Matthias H. Y. Tan;/doi/full/10.1080/00224065.2019.1611358;5;52;4;2020
Storytelling with Data: A Data Visualization Guide for Business Professionals;book review;Willis A. Jensen;/doi/full/10.1080/00224065.2019.1611350;0;52;4;2020
Experimental Design;book review;James Brenneman;/doi/full/10.1080/00224065.2019.1611362;0;52;4;2020
Information Quality: The Potential of Data and Analytics to Generate Knowledge;book review;M. R. Hotchkiss;/doi/full/10.1080/00224065.2019.1611363;0;52;4;2020
Analysis of Integrated Data;book review;Joseph David Conklin;/doi/full/10.1080/00224065.2019.1662350;0;52;4;2020
Probability and Statistics for Data Sciences: Math + R + Data;book review;Melvin Alexander;/doi/full/10.1080/00224065.2019.1677198;0;52;4;2020
ASQ Membership;ASQ Membership;NA;/doi/full/10.1080/00224065.2020.1827687;0;52;4;2020
ASQ Books;ASQ Books;NA;/doi/full/10.1080/00224065.2020.1827688;0;52;4;2020
Copula-based monitoring schemes for non-Gaussian multivariate processes;article;Pavel Krupskii- Fouzi Harrou- Amanda S. Hering - Ying Sun;/doi/full/10.1080/00224065.2019.1571339;6;52;3;2020
Optimal designs with axial values;article;Cameron Willden - Willis A. Jensen;/doi/full/10.1080/00224065.2019.1571346;1;52;3;2020
Supersaturated split-plot designs for robust parameter experiments;article;Krystallenia Drosou - Christos Koukouvinos;/doi/full/10.1080/00224065.2019.1571347;0;52;3;2020
A penalized likelihood-based quality monitoring via L2-norm regularization for high-dimensional processes;article;Sangahn Kim- Myong K. (Mk) Jeong - Elsayed A. Elsayed;/doi/full/10.1080/00224065.2019.1571348;2;52;3;2020
Detection of location and dispersion effects from partially replicated two-level factorial designs;article;Shin-Fu Tsai - Chen-Tuo Liao;/doi/full/10.1080/00224065.2019.1571349;1;52;3;2020
Assessing the effect of repair delays on a repairable system;article;Jiaxiang Cai- Candemir Cigsar - Zhi-Sheng Ye;/doi/full/10.1080/00224065.2019.1611347;0;52;3;2020
Row-column arrangements of regular and nonregular fractional factorial two-level designs;article;Nha Vo-Thanh- Eric D. Schoen - Peter Goos;/doi/full/10.1080/00224065.2019.1611348;1;52;3;2020
Statistical Intervals: A Guide for Practitioners and Researchers;book review;Peter A. Parker;/doi/full/10.1080/00224065.2019.1584508;0;52;3;2020
Soren Bisgaard’s Contributions to Quality Engineering;book review;Laura J. Freeman;/doi/full/10.1080/00224065.2019.1584509;0;52;3;2020
