title;type;authors;doi;cite_number;volume;issue;date
A recommended set of indices for evaluating process health;article;Kevin White- John Szarka III- Ashley Childress - Willis Jensen;/doi/full/10.1080/08982112.2020.1787442;0;33;1;2021
Multivariate time-between-events monitoring: An overview and some overlooked underlying complexities;article;Inez M. Zwetsloot- Tahir Mahmood - William H. Woodall;/doi/full/10.1080/08982112.2020.1788717;0;33;1;2021
On assurance testing for repairable systems;article;M. S. Hamada;/doi/full/10.1080/08982112.2020.1800731;0;33;1;2021
The use of D-optimal design in an expanded gauge R&R study;article;Eva Jarosova;/doi/full/10.1080/08982112.2020.1745233;1;33;1;2021
New dynamic reliability assessment method based on process capability index and fault importance index;article;Guangzhong Liu - Wanhong Li;/doi/full/10.1080/08982112.2020.1754428;0;33;1;2021
A review of dispersion control charts for multivariate individual observations;article;Jimoh Olawale Ajadi- Zezhong Wang - Inez Maria Zwetsloot;/doi/full/10.1080/08982112.2020.1755438;0;33;1;2021
A new capability index for non-normal distributions based on linex loss function;article;Mahdiyeh Erfanian - Bahram Sadeghpour Gildeh;/doi/full/10.1080/08982112.2020.1761026;0;33;1;2021
An effective strategy for the analysis of response profiles;article;Ronald D. Snee;/doi/full/10.1080/08982112.2020.1772978;0;33;1;2021
Adaptive EWMA-S2 control charts with adaptive smoothing parameter;article;Willy Ugaz- Andrés M. Alonso - Ismael Sánchez;/doi/full/10.1080/08982112.2020.1776326;0;33;1;2021
Repetitive inspection scheme based on the run length of test results: A Markov chain Monte Carlo approach;article;Young H. Chun - Seong-Jong Joo;/doi/full/10.1080/08982112.2020.1777427;1;33;1;2021
Goodness-of-fit tests for progressively Type-II censored data: Application to the engineering reliability data from continuous distribution;article;Tiefeng Zhu;/doi/full/10.1080/08982112.2020.1782429;0;33;1;2021
A two-step method for monitoring normally distributed multi-stream processes in high dimensions;article;Amir Ahmadi-Javid - Mohsen Ebadi;/doi/full/10.1080/08982112.2020.1786118;0;33;1;2021
Time and cost constrained design of a simple step-stress accelerated life test under progressive Type-I censoring;article;David Han;/doi/full/10.1080/08982112.2020.1803911;0;33;1;2021
Using simulation to handle implicit likelihoods in a Bayesian analysis;article;M. S. Hamada- T. L. Graves- N. W. Hengartner- D. M. Higdon- A. V. Huzurbazar- E. Lawrence- C. D. Linkletter- C. S. Reese- D. W. Scott- R. R. Sitter- R. L. Warr - B. J. Williams;/doi/full/10.1080/08982112.2020.1814959;0;33;1;2021
Bounding uncertainty in functional data: A case study;case report;Caleb King- Nevin Martin - James Derek Tucker;/doi/full/10.1080/08982112.2020.1851710;0;33;1;2021
Experiences with big data: Accounts from a data scientist’s perspective;article;Murat Kulahci- Flavia Dalia Frumosu- Abdul Rauf Khan- Georg Ørnskov Rønsch - Max Peter Spooner;/doi/full/10.1080/08982112.2019.1686641;1;32;4;2020
Discussion of Experiences with big data: Accounts from a data scientist’s perspective;discussion;Timothy J. Robinson- Richard C. Giles - Rasika U. Rajapakshage;/doi/full/10.1080/08982112.2020.1758333;0;32;4;2020
Exploratory vs solution-seeking big data: Discussion for Experiences with big data: Accounts from a data scientist’s perspective;discussion;Christine M. Anderson-Cook;/doi/full/10.1080/08982112.2020.1755688;0;32;4;2020
Discussion on Experiences with big data: Accounts from a data scientist’s perspective;discussion;Murat Caner Testik;/doi/full/10.1080/08982112.2019.1686642;0;32;4;2020
Discussion of Experiences with big data: Accounts from a data scientist’s perspective;discussion;Pat Whitcomb;/doi/full/10.1080/08982112.2020.1755690;0;32;4;2020
Discussion of Experiences with big data: Accounts from a data scientist’s perspective;discussion;Shirley Coleman;/doi/full/10.1080/08982112.2020.1755687;0;32;4;2020
Discussion of Experiences with big data: Accounts from a data scientist’s perspective;discussion;Andrea Ahlemeyer-Stubbe;/doi/full/10.1080/08982112.2020.1755689;0;32;4;2020
Rejoinder;reply;Murat Kulahci- Flavia Dalia Frumosu- Abdul Rauf Khan- Georg Ørnskov Rønsch - Max Peter Spooner;/doi/full/10.1080/08982112.2020.1808223;0;32;4;2020
Probabilistic model-checking based reliability analysis for failure correlation of multi-state systems;article;Rongxi Wang- Zezhou Tang- Jianmin Gao- Zhiyong Gao - Zhen Wang;/doi/full/10.1080/08982112.2019.1692139;0;32;4;2020
Simulated Six Sigma: A multi response optimization;article;Abdallah A. Abdallah;/doi/full/10.1080/08982112.2019.1694151;0;32;4;2020
Accurate estimation of prediction models for operator-induced defects in assembly manufacturing processes;article;Maurizio Galetto- Elisa Verna - Gianfranco Genta;/doi/full/10.1080/08982112.2019.1700274;5;32;4;2020
Quality 4.0—the challenging future of quality engineering;article;Avigdor Zonnenshain - Ron S. Kenett;/doi/full/10.1080/08982112.2019.1706744;7;32;4;2020
