title;type;authors;doi;cite_number;volume;issue;date
Factorial Designs for Online Experiments;article;Tamar Haizler - David M. Steinberg;/doi/full/10.1080/00401706.2019.1701556;0;63;1;2031
Adaptive Design of Experiments for Conservative Estimation of Excursion Sets;article;Dario Azzimonti- David Ginsbourger- Clément Chevalier- Julien Bect - Yann Richet;/doi/full/10.1080/00401706.2019.1693427;1;63;1;2031
Generalized Computer Model Calibration for Radiation Transport Simulation;article;Michael Grosskopf- Derek Bingham- Marvin L. Adams- W. Daryl Hawkins - Delia Perez-Nunez;/doi/full/10.1080/00401706.2019.1701557;0;63;1;2031
Distance-Distributed Design for Gaussian Process Surrogates;article;Boya Zhang- D. Austin Cole - Robert B. Gramacy;/doi/full/10.1080/00401706.2019.1677269;1;63;1;2031
Gaussian Process Modeling of Heterogeneity and Discontinuities Using Voronoi Tessellations;article;Christopher A. Pope- John Paul Gosling- Stuart Barber- Jill S. Johnson- Takanobu Yamaguchi- Graham Feingold - Paul G. Blackwell;/doi/full/10.1080/00401706.2019.1692696;1;63;1;2031
Boundary Detection Using a Bayesian Hierarchical Model for Multiscale Spatial Data;article;Kai Qu- Jonathan R. Bradley - Xufeng Niu;/doi/full/10.1080/00401706.2019.1677268;0;63;1;2031
Spatiotemporal Modeling and Real-Time Prediction of Origin-Destination Traffic Demand;article;Xiaochen Xian- Honghan Ye- Xin Wang - Kaibo Liu;/doi/full/10.1080/00401706.2019.1704887;0;63;1;2031
Bayesian Methods for Planning Accelerated Repeated Measures Degradation Tests;article;Brian P. Weaver - William Q. Meeker;/doi/full/10.1080/00401706.2019.1695676;1;63;1;2031
Nonparametric Bayesian Modeling and Estimation for Renewal Processes;article;Sai Xiao- Athanasios Kottas- Bruno Sansó - Hyotae Kim;/doi/full/10.1080/00401706.2019.1693428;0;63;1;2031
Detection of latent heteroscedasticity and group-based regression effects in linear models via Bayesian model selection;article;Thomas A. Metzger - Christopher T. Franck;/doi/full/10.1080/00401706.2020.1739561;0;63;1;2031
A Simplified Formulation of Likelihood Ratio Confidence Intervals Using a Novel Property;article;Necip Doganaksoy;/doi/full/10.1080/00401706.2020.1750488;0;63;1;2031
Data Management Using Stata: A Practical Handbook;book review;Feryaal Ahmed;/doi/full/10.1080/00401706.2020.1864994;0;63;1;2031
Debunking Seven Terrorism Myths Using Statistics;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1864998;0;63;1;2031
The Equation of Knowledge: From Bayes’ Rule to a Unified Philosophy of Science;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1864999;0;63;1;2031
Understanding Elections Through Statistics: Polling: Prediction: and Testing;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1865003;0;63;1;2031
Surrogates: Gaussian Process Modeling: Design: and Optimization for the Applied Sciences;book review;Tony Pourmohamad;/doi/full/10.1080/00401706.2020.1865008;0;63;1;2031
Analytic Methods in Sports: Using Mathematics and Statistics to Understand Data from Baseball: Football: Basketball: and Other Sports: 2nd ed;book review;S. Ejaz Ahmed;/doi/full/10.1080/00401706.2020.1865009;0;63;1;2031
Ridge Regression: A Historical Context;article;Roger W. Hoerl;/doi/full/10.1080/00401706.2020.1742207;1;62;4;2030
Ridge Regularization: An Essential Concept in Data Science;article;Trevor Hastie;/doi/full/10.1080/00401706.2020.1791959;5;62;4;2030
Comment: Feature Screening and Variable Selection via Iterative Ridge Regression;discussion;Jianqing Fan - Runze Li;/doi/full/10.1080/00401706.2020.1801256;0;62;4;2030
Comment: Regularization via Bayesian Penalty Mixing;discussion;Edward I. George - Veronika Ročková;/doi/full/10.1080/00401706.2020.1801258;1;62;4;2030
Comment: Ridge Regression and Regularization of Large Matrices;discussion;Can M. Le- Keith Levin- Peter J. Bickel - Elizaveta Levina;/doi/full/10.1080/00401706.2020.1796815;0;62;4;2030
Comment: From Ridge Regression to Methods of Regularization;discussion;Ming Yuan;/doi/full/10.1080/00401706.2020.1805021;0;62;4;2030
Comment: Ridge Regression: Ranking Variables and Improved Principal Component Regression;discussion;Nam-Hee Choi- Kerby Shedden- Gongjun Xu- Xuefei Zhang - Ji Zhu;/doi/full/10.1080/00401706.2020.1811157;1;62;4;2030
Comment: Ridge Regression—Still Inspiring After 50 Years;discussion;Hui Zou;/doi/full/10.1080/00401706.2020.1801257;0;62;4;2030
Generalized Principal Component Analysis: Projection of Saturated Model Parameters;article;Andrew J. Landgraf - Yoonkyung Lee;/doi/full/10.1080/00401706.2019.1668854;6;62;4;2030
Sparse Principal Component Analysis Based on Least Trimmed Squares;article;Yixin Wang - Stefan Van Aelst;/doi/full/10.1080/00401706.2019.1671234;1;62;4;2030
Sequential Model-Based Optimization for Continuous Inputs with Finite Decision Space;article;Qiong Zhang - Youngdeok Hwang;/doi/full/10.1080/00401706.2019.1665589;0;62;4;2030
Adaptive Minimum Confidence Region Rule for Multivariate Initialization Bias Truncation in Discrete-Event Simulations;article;Jianguo Wu- Honglun Xu- Feng Ju - Tzu-Liang (Bill) Tseng;/doi/full/10.1080/00401706.2019.1665590;1;62;4;2030
Uncertainty Quantification for High-Dimensional Sparse Nonparametric Additive Models;article;Qi Gao- Randy C. S. Lai- Thomas C. M. Lee - Yao Li;/doi/full/10.1080/00401706.2019.1665591;0;62;4;2030
Transformation and Additivity in Gaussian Processes;article;Li-Hsiang Lin - V. Roshan Joseph;/doi/full/10.1080/00401706.2019.1665592;1;62;4;2030
Statistical Modeling of Multivariate Destructive Degradation Tests With Blocking;article;Qiuzhuang Sun- Zhi-Sheng Ye - Yili Hong;/doi/full/10.1080/00401706.2019.1668855;5;62;4;2030
A Note on Cross-Validation for Lasso Under Measurement Errors;note;Abhirup Datta - Hui Zou;/doi/full/10.1080/00401706.2019.1668856;0;62;4;2030
2ˆ5 Problems for STEM Education;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1825604;0;62;4;2030
Handbook of Military and Defense Operations Research;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1825617;0;62;4;2030
Integrals Related to the Error Function;book review;Stan Lipovetsky;/doi/full/10.1080/00401706.2020.1825632;0;62;4;2030
Machine Learning: A Practical Approach on the Statistical Learning;book review;Shin Ta Liu PhD;/doi/full/10.1080/00401706.2020.1825645;0;62;4;2030
Modelling Spatial and Spatial-Temporal Data: A Bayesian Approach;book review;Donald E. Myers;/doi/full/10.1080/00401706.2020.1783953;0;62;4;2030
Artificial Intelligence for Drug Development: Precision Medicine: and Healthcare;book review;Peter Wludyka;/doi/full/10.1080/00401706.2020.1825655;0;62;4;2030
A Latent Variable Approach to Gaussian Process Modeling with Qualitative and Quantitative Factors;article;Yichi Zhang- Siyu Tao- Wei Chen - Daniel W. Apley;/doi/full/10.1080/00401706.2019.1638834;9;62;3;2030
The Statistical Filter Approach to Constrained Optimization;article;Tony Pourmohamad - Herbert K. H. Lee;/doi/full/10.1080/00401706.2019.1638304;1;62;3;2030
Bayesian Nonparametric Joint Mixture Model for Clustering Spatially Correlated Time Series;article;Youngmin Lee - Heeyoung Kim;/doi/full/10.1080/00401706.2019.1635532;0;62;3;2030
Split Regularized Regression;article;Anthony-Alexander Christidis- Laks Lakshmanan- Ezequiel Smucler - Ruben Zamar;/doi/full/10.1080/00401706.2019.1635533;0;62;3;2030
A Unified Approach to Sparse Tweedie Modeling of Multisource Insurance Claim Data;article;Simon Fontaine- Yi Yang- Wei Qian- Yuwen Gu - Bo Fan;/doi/full/10.1080/00401706.2019.1647881;1;62;3;2030
Model Misspecification of Generalized Gamma Distribution for Accelerated Lifetime-Censored Data;article;Marzieh Khakifirooz- Sheng Tsaing Tseng - Mahdi Fathi;/doi/full/10.1080/00401706.2019.1647880;0;62;3;2030
Modification of the Maximin and ϕp (Phi) Criteria to Achieve Statistically Uniform Distribution of Sampling Points;article;Miroslav Vořechovský - Jan Eliáš;/doi/full/10.1080/00401706.2019.1639550;4;62;3;2030
Sliced Designs for Multi-Platform Online Experiments;article;Soheil Sadeghi- Peter Chien - Neeraj Arora;/doi/full/10.1080/00401706.2019.1647288;1;62;3;2030
Construction: Properties: and Analysis of Group-Orthogonal Supersaturated Designs;article;Bradley Jones- Ryan Lekivetz- Dibyen Majumdar- Christopher J. Nachtsheim - Jonathan W. Stallrich;/doi/full/10.1080/00401706.2019.1654926;2;62;3;2030
Computer Intensive Methods in Statistics;book review;Subir Ghosh;/doi/full/10.1080/00401706.2020.1783946;0;62;3;2030
Probability and Bayesian Modeling;book review;Subir Ghosh;/doi/full/10.1080/00401706.2020.1783947;0;62;3;2030
The Measurement of Association: A Permutation Statistical Approach;book review;Subir Ghosh;/doi/full/10.1080/00401706.2020.1783948;0;62;3;2030
